﻿web-scraper-order,web-scraper-start-url,route-links,route-links-href,name,c-grade,vr-grade,line,area,height,creator,createdAt,desc
"1709364945-1","https://routen.heavensgate-muc.de/routen.html","?  KURZ","https://routen.heavensgate-muc.de/routen/route/138.html","Route: 
            ?  KURZ            				
				(3.50)","5+/6-","5+","010 / Indoor","Silo 3 KURZ","11 Meter","Julian","15.07.2021","KURZ"
"1709364947-2","https://routen.heavensgate-muc.de/routen.html","Lila Lila","https://routen.heavensgate-muc.de/routen/route/32.html","Route: 
            Lila Lila            				
				(4.04)","5+","6-","606 / Indoor","Tufa Knödelsilo","18 Meter","Lukas M.","15.07.2021",""
"1709364949-3","https://routen.heavensgate-muc.de/routen.html","Bullauge","https://routen.heavensgate-muc.de/routen/route/33.html","Route: 
            Bullauge            				
				(4.15)","5-","5-","607 / Indoor","Tufa Knödelsilo","18 Meter","Vassili T.","15.07.2021",""
"1709364952-4","https://routen.heavensgate-muc.de/routen.html","Christopher Werk Day","https://routen.heavensgate-muc.de/routen/route/137.html","Route: 
            Christopher Werk Day            				
				(4.20)","4+","4+","918 / Indoor","Überhang rechts","15 Meter","Andi","01.12.2021",""
"1709364954-5","https://routen.heavensgate-muc.de/routen.html","El Dülfer  KURZ","https://routen.heavensgate-muc.de/routen/route/241.html","Route: 
            El Dülfer  KURZ            				
				(4.00)","5-","5-","009 / Indoor","Silo 3 KURZ","7 Meter","Basti","17.02.2022","KURZ"
"1709364956-6","https://routen.heavensgate-muc.de/routen.html","Höhlenforscher KURZ","https://routen.heavensgate-muc.de/routen/route/242.html","Route: 
            Höhlenforscher KURZ            				
				(4.20)","5+","5+","007 / Indoor","Silo 2 KURZ","7 Meter","Basti","17.02.2022","KURZ"
"1709364958-7","https://routen.heavensgate-muc.de/routen.html","Olaf KURZ","https://routen.heavensgate-muc.de/routen/route/245.html","Route: 
            Olaf KURZ            				
				(4.20)","3+","4-","008 / Indoor","Silo 3 KURZ","7 Meter","Apolka","21.02.2022","KURZ"
"1709364961-8","https://routen.heavensgate-muc.de/routen.html","Turtle Action KURZ","https://routen.heavensgate-muc.de/routen/route/275.html","Route: 
            Turtle Action KURZ            				
				(4.00)","5+/6-","5+","006 / Indoor","Silo 2 KURZ","7 Meter","Matze","26.04.2022","KURZ"
"1709364963-9","https://routen.heavensgate-muc.de/routen.html","Tritt ins Blaue KURZ","https://routen.heavensgate-muc.de/routen/route/324.html","Route: 
            Tritt ins Blaue KURZ            				
				(4.00)","4","4","001 / Indoor","Silo 1 KURZ","7 Meter","Jürgen","19.07.2022","KURZ"
"1709364965-10","https://routen.heavensgate-muc.de/routen.html","Gelber Mumpitz  KURZ","https://routen.heavensgate-muc.de/routen/route/325.html","Route: 
            Gelber Mumpitz  KURZ            				
				(3.67)","4+","4+","002 / Indoor","Silo 1 KURZ","7 Meter","Jürgen","19.07.2022","KURZ"
"1709364967-11","https://routen.heavensgate-muc.de/routen.html","Bayernkiwi","https://routen.heavensgate-muc.de/routen/route/353.html","Route: 
            Bayernkiwi            				
				(4.13)","5+","5+","105 / Indoor","Silo 1","30 Meter","Weiky","14.09.2022","KIDS"
"1709364969-12","https://routen.heavensgate-muc.de/routen.html","Wenn ich schon mal  hier bin","https://routen.heavensgate-muc.de/routen/route/362.html","Route: 
            Wenn ich schon mal  hier bin            				
				(4.11)","5","5","704 / Indoor","roter Knödelsilo","15 Meter","Felix","23.09.2022","5/5+"
"1709364972-13","https://routen.heavensgate-muc.de/routen.html","3er Weg KURZ","https://routen.heavensgate-muc.de/routen/route/367.html","Route: 
            3er Weg KURZ            				
				(4.00)","5-","5-","003 / Indoor","Silo 1 KURZ","7 Meter","Gerhard","26.09.2022","KURZ"
"1709364974-14","https://routen.heavensgate-muc.de/routen.html","Sonniger Herbst KURZ","https://routen.heavensgate-muc.de/routen/route/368.html","Route: 
            Sonniger Herbst KURZ            				
				(3.50)","4","4","004 / Indoor","Silo 2 KURZ","7 Meter","Gerhard","26.09.2022","KURZ"
"1709364976-15","https://routen.heavensgate-muc.de/routen.html","Little blue KURZ","https://routen.heavensgate-muc.de/routen/route/372.html","Route: 
            Little blue KURZ            				
				(3.33)","4","4","005 / Indoor","Silo 2 KURZ","7 Meter","Julian","04.10.2022",""
"1709364978-16","https://routen.heavensgate-muc.de/routen.html","Bavaria Blue","https://routen.heavensgate-muc.de/routen/route/45.html","Route: 
            Bavaria Blue            				
				(4.33)","5","5+","101 / Indoor","Silo 1","30 Meter","JJ","01.12.2022",""
"1709364980-17","https://routen.heavensgate-muc.de/routen.html","Just for fun","https://routen.heavensgate-muc.de/routen/route/46.html","Route: 
            Just for fun             				
				(4.57)","5-","4+","101 / Indoor","Silo 1","30 Meter","Andi","01.12.2022","Für KIDS (5-)"
"1709364983-18","https://routen.heavensgate-muc.de/routen.html","klein aber fein","https://routen.heavensgate-muc.de/routen/route/47.html","Route: 
            klein aber fein            				
				(4.33)","5","5","102 / Indoor","Silo 1","30 Meter","Andi","01.12.2022","KIDS"
